Cohort 19 (Fall 2024 Schedule),,,,,,,,,,,,Class time start at 7:30 a.m. and end at 10:30 a.m,,,,,,,,Class time start at 7:30 a.m. and end at 10:30 a.m,,,,,,,,Class time start at 7:30 a.m. and end at 10:30 a.m,,,,,,,,Class time start at 7:30 a.m. and end at 10:30 a.m,,,,,,,,Class time start at 7:30 a.m. and end at 10:30 a.m,,,,,,,,Class time start at 7:30 a.m. and end at 10:30 a.m,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEEK 1,DAY,DATE,,TOPIC,OUTLINE,INSTRUCTOR,,WEEK 6,DAY,DATE,,TOPIC,OUTLINE,INSTRUCTOR,,WEEK 13,DAY,DATE,,TOPIC,OUTLINE,INSTRUCTOR,,WEEK 20,DAY,DATE,,TOPIC,OUTLINE,INSTRUCTOR,,WEEK 26,DAY,DATE,,TOPIC,OUTLINE,INSTRUCTOR,,WEEK 33,DAY,DATE,,TOPIC,OUTLINE,INSTRUCTOR,,WEEK 39,DAY,DATE,,TOPIC,OUTLINE,INSTRUCTOR
,,,,,,,,,,,,,,,,,,,,,,,,HAPPY NEW YEAR 2025,,,,,,,,,,,,,,,,,,,,,,,,GRADUATION,,,,,,
WEEK 4,DAY,DATE,,TOPIC,OUTLINE,INSTRUCTOR,,WEEK 9,DAY,DATE,,TOPIC,OUTLINE,INSTRUCTOR,,WEEK 16,DAY,DATE,,TOPIC,OUTLINE,INSTRUCTOR,,WEEK 23,DAY,DATE,,TOPIC,OUTLINE,INSTRUCTOR,,WEEK 29,DAY,DATE,,TOPIC,OUTLINE,INSTRUCTOR,,WEEK 36,DAY,DATE,,TOPIC,OUTLINE,INSTRUCTOR,,WEEK 42,DAY,DATE,,TOPIC,OUTLINE,INSTRUCTOR
HOLIDAY,M,9/2/2024,,NO CLASS,LABOR DAY,N/A,,17,M,10/7/2024,,JAVASCRIPT,Data Structures: Stacks and Queue,Trevor M.,,17,M,11/25/2024,,REACT.js,React Project Day,Trevor M.,,10,M,1/6/2025,,BACKEND PROG. - EXPRESS,ExpressJS: Adding State,Curtis D.,,HOLIDAY,M,2/17/2025,,NO CLASS,PRESIDENT'S DAY,N/A,,8,M,4/7/2025,,ANGULAR,Day #10: Angular Template-driven Forms,Adrien D.,,EXTERNSHIP,,5/19/2025,,EXTERNSHIP 1,EXTERNSHIP 1 BEGINS,N/A
13,T,9/3/2024,,HTML & CSS," HTML Image, Form and Table Elements",Curtis D.,,18,T,10/8/2024,,JAVASCRIPT,Data Structures: Linked List,Moses K.,,18,T,11/26/2024,,REACT.js,React Project Day,Scott B.,,11,T,1/7/2025,,BACKEND PROG. - EXPRESS,ExpressJS: Routes,Thomas C.,,3,T,2/18/2025,,HOSTING - DAY 8,AWS Automatic Scaling and Monitoring,Clint P.,,9,T,4/8/2025,,ANGULAR,Day #11: More on Components,Adrien D.,,EXTERNSHIP,,7/18/2025,,EXTERNSHIP 1,EXTERNSHIP 1 ENDS,N/A
14,W,9/4/2024,,SASS - Day 2,Advanced Sass Concepts,Trent R.,,19,W,10/9/2024,,JAVASCRIPT,Data Structures: Binary Search Trees and Heaps,Trevor M.,,CAMPUS CLOSED,W,11/27/2024,,NO CLASS,THANKSGIVING WEEKEND,N/A,,12,W,1/8/2025,,BACKEND PROG. - EXPRESS,VSCode Rest Client/Postman,Curtis D.,,4,W,2/19/2025,,DATABASE - DAY 3,"Search, Indexes, Aggregation",Curtis D.,,10,W,4/9/2025,,ANGULAR,Day #12: Nested Components,Adrien D.,,EXTERNSHIP,,7/21/2025,,EXTERNSHIP 2,EXTERNSHIP 2 BEGINS,N/A
15,TH,9/5/2024,,Material Design,Material Design,Curtis D.,,20,TH,10/10/2024,,JAVASCRIPT,Data Structures: Sorting Algorithms,Moses K.,,CAMPUS CLOSED,TH,11/28/2024,,NO CLASS,THANKSGIVING WEEKEND,N/A,,13,TH,1/9/2025,,BACKEND PROG. - EXPRESS,"ExpressJS: Passport - Password, UserID",Thomas C.,,5,TH,2/20/2025,,DATABASE - DAY 4,"Sharding, Backups",Thomas C.,,11,TH,4/10/2025,,ANGULAR,Day #13: Pipes,Alberto G.,,EXTERNSHIP,,8/7/2025,,EXTERNSHIP 2,EXTERNSHIP 2 ENDS,N/A
16,F,9/6/2024,,TAILWIND - Day 1,Tailwind Introduction,Trent R.,,21,F,10/11/2024,,JAVASCRIPT,Data Structures: Searching Algorithms,Trevor M.,,CAMPUS CLOSED,F,11/29/2024,,NO CLASS,THANKSGIVING WEEKEND,N/A,,14,F,1/10/2025,,BACKEND PROG. ,ExpressJS: Passport - Other Strategies and oAuth,Curtis D.,,6,F,2/21/2025,,DATABASE - DAY 5,Postgres Introduction and Syntax,Curtis D.,,12,F,4/11/2025,,ANGULAR,Day #14: Intro to RxJS Observables (TODO),Megan M.,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEEK 5,DAY,DATE,,TOPIC,OUTLINE,INSTRUCTOR,,WEEK 10,DAY,DATE,,TOPIC,OUTLINE,INSTRUCTOR,,WEEK 17,DAY,DATE,,TOPIC,OUTLINE,INSTRUCTOR,,WEEK 24,DAY,DATE,,TOPIC,OUTLINE,INSTRUCTOR,,WEEK 30,DAY,DATE,,TOPIC,OUTLINE,INSTRUCTOR,,WEEK 37,DAY,DATE,,TOPIC,OUTLINE,INSTRUCTOR,,,,,,,,
17,M,9/9/2024,,Bootstrap - Day 1,Bootstrap Introduction,Curtis D.,,22,M,10/14/2024,,JAVASCRIPT,Project Day,Trevor M.,,19,M,12/2/2024,,REACT.js,React Project Day,Trevor M.,,15,M,1/13/2025,,BACKEND PROG.,Websocket,Thomas C.,,6,M,2/24/2025,,DATABASE - DAY 6,"Postgress CRUD (Create, Read, Update, Delete)",Thomas C.,,13,M,4/11/2025,,ANGULAR,Day #15: Retrieving Data Using HTTP,Adrien D.,,,,,,,,
